Vehicle_Name,Type,Manufacturer,Model,Country,Introduced_Year,0-100_kph_(s),100-0_(m),Top_Speed_(kph),Curb_Weight_(kg),Wheelbase_(m),Length_(m),Width_(m),Height_(m),Engine,Displacement_(l),Power_(ps),Torque_(Nm),Engine_Layout,Wheel_Drive,Class,Trasmission_Name,Trasmission_Type,N_Trasmission
Lancia Flaminia Coupe 3b,Car,Lancia,Flaminia Coupe 3b,Italy,,,,,,,,,,V6,2.5,128.0,183.0,Front,Rear,Coupe,4 speed manual,Manual,4.0
Lancia Flaminia Sport Zagato,Car,Lancia,Flaminia Sport Zagato,Italy,1958.0,,,190.0,1270.0,,,,,V6,2.5,119.0,186.0,Front,Rear,Coupe,4 speed manual,Manual,4.0
Lancia Flavia Coupe 1.5,Car,Lancia,Flavia Coupe 1.5,Italy,,,,,,,,,,Boxer 4,1.5,90.0,116.0,Front,Front,Coupe,4 speed manual,Manual,4.0
Lancia Montecarlo,Car,Lancia,Montecarlo,Italy,1975.0,8.8,,200.0,978.0,,,,,4 cylinders,2.0,120.0,,Middle,Rear,Coupe,5,Other,5.0
Lancia Montecarlo Turbo,Car,Lancia,Montecarlo Turbo,Italy,,,,286.0,872.0,,,,,1.4L I4 Turbo,1.4,406.0,,Middle,Rear,Coupe,Colotti 5-speed Manual,Manual,5.0
Lancia Stratos HF,Car,Lancia,Stratos HF,Italy,1972.0,6.2,,237.0,1005.0,,,,,V6 Ferrari engine from the Ferrari Dino 246,2.4,190.0,225.0,Middle,Rear,Coupe,5 Manual,Manual,5.0
Land Rover Defender TD4 110 SW,Car,Land Rover,Defender TD4 110 SW,United Kingdom,,,,,,,,,,Inline 4 turbo diesel,2.2,122.0,360.0,Front,All,SUV/truck,6 speed manual,Manual,6.0
Leon 2.0 TSI Sportstourer,Car,Cupra,Leon 2.0 TSI Sportstourer,Spain,2021.0,4.9,32.0,250.0,1593.0,,,,,Inline 4 turbo,2.0,310.0,400.0,Front,All,Estate/wagon,7 speed Dual clutch,Dual-Clutch,7.0
Lexus CT 200H,Car,Lexus,CT 200H,Japan,2011.0,11.6,38.0,180.0,1473.5,,,,,VVT-i Inline-4/Electric,1.8,163.0,250.0,Front,Front,Compact,E-CVT,Other,
Lexus ES 300h,Car,Lexus,ES 300h,Japan,2018.0,8.3,35.0,186.0,1737.5,,,,,Inline 4 + E-motor,2.5,218.0,,Front,Front,4-door saloon,stepless automatic,Automatic,
Lexus GS 450h,Car,Lexus,GS 450h,Japan,2007.0,6.1,,250.0,1918.5,,,,,V6 Hybrid,3.5,345.0,368.0,Front,Rear,4-door saloon,CVT,Other,
Lexus GS 450h (Mk IV facelift),Car,Lexus,GS 450h (Mk IV facelift),Japan,2015.0,6.0,38.0,250.0,1853.0,,,,,V6 and electric motor,3.5,345.0,,Front,Rear,4-door saloon,CVT variator,Other,
Lexus GS F,Car,Lexus,GS F,Japan,2016.0,4.9,33.0,270.0,1849.5,2.85,,,,"""V8 DOHC""",5.0,477.0,530.0,Front,Rear,4-door saloon,8-speed automatic,Automatic,8.0
Lexus IS 200K,Car,Lexus,IS 200K,Japan,2000.0,,,,1510.0,,,,,inline 4 16V DOHC Turbo,2.0,205.0,247.0,Front,Rear,4-door saloon,6 speed manual,Manual,6.0
Lexus IS 220d,Car,Lexus,IS 220d,Japan,2005.0,8.9,,220.0,1585.0,,,,,"Inline 4, Turbocharged, Diesel",2.2,177.0,400.0,Front,Rear,4-door saloon,6,Other,6.0
Lexus IS 250,Car,Lexus,IS 250,Japan,2006.0,7.6,,230.0,1570.0,,,,,V6 24V n/a,2.5,208.0,252.0,Front,Rear,4-door saloon,6 speed manual,Manual,6.0
Lexus IS 350,Car,Lexus,IS 350,Japan,2006.0,5.6,,230.0,1600.0,,,,,v6,3.5,310.0,375.0,Front,Rear,4-door saloon,6,Other,6.0
Lexus IS F,Car,Lexus,IS F,Japan,2007.0,4.7,35.0,278.0,1724.5,,,,,"DOHC 32-valve V-8, aluminum block and heads, direct fuel injection",5.0,423.0,505.0,Front,Rear,4-door saloon,8 speed automatic,Automatic,8.0
Lexus IS-F (facelift),Car,Lexus,IS-F (facelift),Japan,2011.0,5.0,,270.0,1715.0,2.73,4.66,1.82,1.42,V8 32V n/a,5.0,423.0,505.0,Front,Rear,4-door saloon,8speed automatic,Automatic,8.0
Lexus LC 500,Car,Lexus,LC 500,Japan,2018.0,4.9,33.0,270.0,1973.0,,,,,V8 32 valve DOHC,5.0,477.0,542.0,Front,Rear,Coupe,10 speed dual-clutch automatic,Dual-Clutch,10.0
Lexus LFA,Car,Lexus,LFA,Japan,2010.0,3.7,33.0,325.0,1611.5,,,,,V10,4.8,560.0,480.0,Front,Rear,Coupe,6 speed sequential,Sequential,6.0
Lexus LFA Nurburgring Package,Car,Lexus,LFA Nurburgring Package,Japan,2012.0,3.7,32.0,326.0,1509.0,,,,,V10,4.8,570.0,480.0,Front,Rear,Coupe,6-speed sequential,Sequential,6.0
Lexus LS 460,Car,Lexus,LS 460,Japan,2006.0,5.8,,250.0,1999.5,,,,,"V8, 32v",4.6,381.0,493.0,Front,Rear,4-door saloon,8,Other,8.0
Lexus NX 350h,Car,Lexus,NX 350h,Japan,2021.0,,,,1827.5,,,,,Inline 4 + E-motor,2.5,242.0,,Front,All,SUV/truck,CVT,Other,
Lexus RC F,Car,Lexus,RC F,Japan,2014.0,4.5,33.0,278.0,1815.5,2.73,4.71,1.85,1.39,v8,5.0,477.0,530.0,Front,Rear,Coupe,8 speed auto,Other,8.0
Lexus RC F Track Edition,Car,Lexus,RC F Track Edition,Japan,2019.0,4.8,35.0,270.0,1733.0,,,,,V8 Naturally Aspirated,5.0,480.0,536.0,Front,Rear,Coupe,8 speed automatic with manual shifting mode,Automatic,8.0
Lexus RX450h (Mk IV),Car,Lexus,RX450h (Mk IV),Japan,2019.0,7.6,36.0,211.0,2137.0,,,,,V6 with electric motor,3.5,313.0,760.0,Front,All,SUV/truck,CVT variator,Other,
Lexus XE30 IS350 F-Sport,Car,Lexus,XE30 IS350 F-Sport,Japan,2015.0,5.4,,252.0,1691.0,2.8,4.67,1.81,1.8,2GR-FSE Naturally Aspirated V6,3.5,310.0,380.0,Front,Rear,4-door saloon,AA81E 8-Speed Automatuc,Other,8.0
Lister Le Mans Coupe,Car,Lister,Le Mans Coupe,United Kingdom,1963.0,,,,,,,,,Inline 6,3.8,,,Front,Rear,Coupe,4 speed manual,Manual,4.0
Lola  B12/60 Toyota,Car,Lola,B12/60 Toyota,United Kingdom,,,,,900.0,,,,,V8 DOHC,3.4,532.0,,Rear,Rear,Coupe,6 speed Sequential,Sequential,6.0
Lola B08/60 Aston Martin,Car,Lola,B08/60 Aston Martin,United Kingdom,,,,,900.0,,,,,Aston Martin V12,5.9,659.0,725.0,Middle,Rear,Coupe,XTrac Type 529 6 speed Sequential,Sequential,6.0
Lola B08/80 Judd,Car,Lola,B08/80 Judd,United Kingdom,,,,,825.0,,,,,V8 DOHC,3.4,517.0,470.0,Middle,Rear,Coupe,6 speed Sequential,Sequential,6.0
Lola B10/60 Toyota,Car,Lola,B10/60 Toyota,United Kingdom,,,,,900.0,,,,,V8 DOHC,3.4,532.0,,Rear,Rear,Coupe,6 speed Sequential,Sequential,6.0
Lola Mk 6 GT,Car,Lola,Mk 6 GT,United Kingdom,,,,,,,,,,V8,4.6,,,Middle,Rear,Coupe,4 speed manual,Manual,4.0
Lola T282,Car,Lola,T282,United Kingdom,,,,,700.0,,,,,Ford Cosworth DFV 3.0L V8,3.0,451.0,339.0,Middle,Rear,Convertible,5-speed Manual,Manual,5.0
Lola-Aston Martin B09/60,Car,Lola-Aston Martin,B09/60,United Kingdom,,,,,900.0,,,,,V12 DOHC,5.9,659.0,770.0,Middle,Rear,Coupe,6 speed Sequential,Sequential,6.0
Lotus  Exige S Type 72,Car,Lotus,Exige S Type 72,United Kingdom,2009.0,4.7,,,935.0,,,,,Inline 4,1.8,238.0,,Middle,Rear,Coupe,6 Speed,Other,6.0
Lotus 2-Eleven,Car,Lotus,2-Eleven,United Kingdom,2007.0,4.3,,241.0,776.0,,,,,4 cyl charger,1.8,256.0,242.0,Middle,Rear,Open-wheeler,6-speed,Other,6.0
Lotus 23 1.0,Car,Lotus,23 1.0,United Kingdom,1963.0,,,,,,,,,Inline 4,1.0,,,Middle,Rear,Convertible,5 speed manual,Manual,5.0
Lotus 3-Eleven Race,Car,Lotus,3-Eleven Race,United Kingdom,2016.0,3.0,34.0,290.0,979.0,,,,,"3.5 litre V6, 24 valve, supercharged",3.5,466.0,525.0,Middle,Rear,Open-wheeler,6 speed sequential gearbox with paddle shift,Sequential,6.0
Lotus 340R,Car,Lotus,340R,United Kingdom,2000.0,5.4,,213.0,675.0,,,,,4 cylinder 16 valve,1.8,179.0,171.0,Middle,Rear,Open-wheeler,5,Other,5.0
Lotus Elan,Car,Lotus,Elan,United Kingdom,1990.0,6.5,40.0,221.0,1050.5,,,,,4,1.6,167.0,201.0,Front,Front,Convertible,5,Other,5.0
Lotus Elan 26R,Car,Lotus,Elan 26R,United Kingdom,1964.0,,,,,,,,,Inline 4,1.6,,,Front,Rear,Coupe,4 speed manual,Manual,4.0
Lotus Elise 1.6,Car,Lotus,Elise 1.6,United Kingdom,2011.0,7.2,35.0,204.0,898.5,,,,,Inline-4 16V DOHC n/a,1.6,136.0,160.0,Middle,Rear,Convertible,6-Speed Manual,Manual,6.0
Lotus Elise 111R,Car,Lotus,Elise 111R,United Kingdom,2004.0,5.5,,243.0,885.5,,,,,Toyota Straight 4,1.8,192.0,180.0,Front,Rear,Convertible,6,Other,6.0
Lotus Elise 111S (Mk I),Car,Lotus,Elise 111S (Mk I),United Kingdom,1999.0,5.4,39.0,216.0,771.5,,,,,4,1.8,147.0,174.0,Middle,Rear,Coupe,5,Other,5.0
Lotus Elise 135R,Car,Lotus,Elise 135R,United Kingdom,2001.0,5.4,,218.0,780.0,,,,,Inline 4 16 valve,1.8,137.0,175.0,Front,Rear,Convertible,5 speed manual,Manual,5.0
Lotus Elise Cup 250 (Mk III),Car,Lotus,Elise Cup 250 (Mk III),United Kingdom,2016.0,,,,931.0,,,,,"1.8 litre DOHC 4 cylinder, dual VVT-i, 16-valve with chargecooled supercharger",1.8,246.0,250.0,Middle,Rear,Coupe,6 speed manual gearbox with sports ratios,Manual,6.0
Lotus Elise S,Car,Lotus,Elise S,United Kingdom,2012.0,5.2,34.0,241.0,937.5,,,1.72,1.12,Supercharged I4,1.8,217.0,249.0,Middle,Rear,Coupe,6-Speed Manual,Manual,6.0
Lotus Elise S Club Racer,Car,Lotus,Elise S Club Racer,United Kingdom,,4.6,34.0,234.0,918.5,2.3,3.82,1.85,1.12,,1.8,220.0,250.0,Middle,Rear,Convertible,6-Speed,Other,6.0
Lotus Elise S1,Car,Lotus,Elise S1,United Kingdom,,5.5,,203.0,728.0,2.3,3.73,1.7,1.2,Inline 4 16 valve,1.8,120.0,165.0,Middle,Rear,Convertible,5 speed manual,Manual,5.0
Lotus Elise S2,Car,Lotus,Elise S2,United Kingdom,2006.0,5.9,,205.0,877.0,,,,,naturally aspirated R4,1.8,136.0,172.0,Middle,Rear,Convertible,5 speed,Other,5.0
Lotus Elise S2 111S,Car,Lotus,Elise S2 111S,United Kingdom,2002.0,5.1,,213.0,806.0,,,,,Inline-4 16v DOHC VVC,1.8,158.0,175.0,Middle,Rear,Coupe,5,Other,5.0
Lotus Elise SC,Car,Lotus,Elise SC,United Kingdom,2008.0,5.0,37.0,240.0,918.5,,,,,4cyl 1796cc,1.8,220.0,212.0,Middle,Rear,Convertible,6 speed,Other,6.0
Lotus Elise SC Clark Type 25,Car,Lotus,Elise SC Clark Type 25,United Kingdom,2008.0,,,,870.0,2.3,3.79,1.72,1.12,"2ZZ-GE Straight 4  4 valves / cylinder, DOHC, VVTL-i",1.8,221.0,215.0,Rear,Rear,Coupe,6 speed Manual,Manual,6.0
Lotus Elise Sport 220 (Mk III),Car,Lotus,Elise Sport 220 (Mk III),United Kingdom,,,,,914.0,,,,,Inline 4 16 valve DOHC,1.8,220.0,,Middle,Rear,Convertible,6 speed manual,Manual,6.0
Lotus Elite LX,Car,Lotus,Elite LX,United Kingdom,1960.0,,,,,,,,,Inline 4,2.0,,,Front,Rear,Coupe,4 speed manual,Manual,4.0
Lotus Elite Le Mans,Car,Lotus,Elite Le Mans,United Kingdom,1960.0,,,,,,,,,Inline 4,1.2,,,Front,Rear,Coupe,4 speed manual,Manual,4.0
Lotus Emira 3.5,Car,Lotus,Emira 3.5,United Kingdom,2021.0,4.5,32.0,290.0,1482.0,,,,,3.5-liter supercharged Toyota V-6,3.5,406.0,430.0,Middle,Rear,Coupe,"Manual, DCT",Other,
Lotus Esprit GT3,Car,Lotus,Esprit GT3,United Kingdom,1996.0,4.8,,264.0,1234.5,,,,,4 cylinder 16 valve,2.2,243.0,293.0,Middle,Rear,Coupe,5,Other,5.0
Lotus Esprit S1,Car,Lotus,Esprit S1,United Kingdom,1975.0,8.1,,222.0,965.5,,,,,16 valve Straght 4,2.0,162.0,190.0,Middle,Rear,Coupe,5 speed manual,Manual,5.0
Lotus Esprit S4s,Car,Lotus,Esprit S4s (285 bhp version),United Kingdom,,4.9,,260.0,1404.0,,,,,Inline 4 turbo,2.2,288.0,393.0,Middle,Rear,Coupe,6 speed manual,Manual,6.0
Lotus Esprit Sport 300,Car,Lotus,Esprit Sport 300,United Kingdom,1993.0,4.7,,272.0,1246.5,,,,,4 cyl,2.2,306.0,389.0,Middle,Rear,Coupe,5,Other,5.0
Lotus Esprit Sport 350,Car,Lotus,Esprit Sport 350,United Kingdom,1999.0,4.4,,282.0,1374.0,,,,,"V8, Twin Turbo, 32v",3.5,354.0,400.0,Middle,Rear,Coupe,5,Other,5.0
Lotus Esprit Turbo,Car,Lotus,Esprit Turbo,United Kingdom,1980.0,6.0,,245.0,1184.0,,,,,"Inline 4, 16 valve turbo",2.2,213.0,271.0,Middle,Rear,Coupe,5 speed manual,Manual,5.0
Lotus Esprit Turbo HC,Car,Lotus,Esprit Turbo HC,United Kingdom,1987.0,5.7,,235.0,1211.5,,,,,"S4, 16v, twin Dellorto 45 carbs, turbo",2.2,218.0,298.0,Middle,Rear,Coupe,5M,Other,5.0
Lotus Esprit Turbo SE,Car,Lotus,Esprit Turbo SE,United Kingdom,1990.0,4.8,,270.0,1276.5,,,,,"Inline 4, Turbocharged, 16v",2.2,268.0,353.0,Middle,Rear,Coupe,5,Other,5.0
Lotus Esprit V8,Car,Lotus,Esprit V8,United Kingdom,,4.5,38.0,289.0,1363.5,,,,,V8,3.5,355.0,400.0,Middle,Rear,Coupe,5 speed,Other,5.0
Lotus Europa S,Car,Lotus,Europa S,United Kingdom,2006.0,5.8,,242.0,995.0,,,,,"Inline 4, Turbocharged, 16v",2.0,200.0,272.0,Middle,Rear,Coupe,6,Other,6.0
Lotus Evora,Car,Lotus,Evora,United Kingdom,2010.0,5.1,33.0,262.0,1398.0,,,,,V6,3.5,280.0,350.0,Middle,Rear,Coupe,6 manual,Manual,6.0
Lotus Evora 400,Car,Lotus,Evora 400,United Kingdom,2016.0,4.2,34.0,300.0,1435.5,,,,,V6,3.5,406.0,410.0,Middle,Rear,Coupe,,Other,
Lotus Evora GT,Car,Lotus,Evora GT,United Kingdom,2019.0,,,303.0,1419.5,,,,,V6 supercharged,3.5,422.0,430.0,Middle,Rear,Coupe,6 speed manual,Manual,6.0
Lotus Evora S,Car,Lotus,Evora S,,2011.0,4.6,33.0,286.0,1443.5,2.58,4.34,1.84,1.22,DOHC V6 VVT-I,3.5,351.0,400.0,Middle,Rear,Coupe,6 speed manny,Other,6.0
Lotus Evora Sport 410,Car,Lotus,Evora Sport 410,United Kingdom,2016.0,,,298.0,1368.0,,,,,V6 DOHC Supercharged,3.5,416.0,420.0,Middle,Rear,Coupe,6 Speed manual,Manual,6.0
Lotus Exige,Car,Lotus,Exige,United Kingdom,2004.0,5.6,,237.0,894.5,,,,,"Inline 4, 16v",1.8,192.0,181.0,Middle,Rear,Coupe,6,Other,6.0
Lotus Exige (Mk I),Car,Lotus,Exige (Mk I),United Kingdom,2000.0,,,220.0,780.0,,,,,"4 cilynder, 16 valves",1.8,179.0,179.0,Middle,Rear,Coupe,5,Other,5.0
Lotus Exige 240R,Car,Lotus,Exige 240R,United Kingdom,2005.0,5.2,,249.0,941.0,,,,,turbocharged R4,1.8,247.0,263.0,Middle,Rear,Coupe,6 speed manual,Manual,6.0
Lotus Exige 410 Sport (Mk III),Car,Lotus,Exige 410 Sport (Mk III),United Kingdom,2018.0,3.7,32.0,290.0,1100.5,,4.08,1.8,1.13,V6 DOHC Supercharged,3.5,416.0,420.0,Middle,Rear,Coupe,6 Speed manual,Manual,6.0
Lotus Exige Cup 240,Car,Lotus,Exige Cup 240,United Kingdom,2006.0,,,,,,,,,Inline 4,1.8,247.0,236.0,Middle,Rear,Coupe,6 speed manual,Manual,6.0
Lotus Exige Cup 260,Car,Lotus,Exige Cup 260,United Kingdom,2008.0,4.1,,245.0,890.0,,,,,inline4 16V DOHC charger,2.0,260.0,236.0,Middle,Rear,Coupe,6 Speed Manual,Manual,6.0
Lotus Exige Cup 380 (Mk III),Car,Lotus,Exige Cup 380 (Mk III),United Kingdom,2017.0,,,,1109.0,,,,,"3.5 litre DOHC V6 VVT-i, 24 valve, with Harrop supercharger",3.5,381.0,410.0,Middle,Rear,Coupe,"6 speed manual gearbox with sports ratios, 6 speed automatic",Manual,6.0
Lotus Exige Cup 430 (Mk III),Car,Lotus,Exige Cup 430 (Mk III),United Kingdom,2017.0,3.3,,290.0,1093.0,,,,,"V6, supercharger, DOHC, 24 valves, VVT",3.5,436.0,440.0,Middle,Rear,Coupe,6 speed manual,Manual,6.0
Lotus Exige S,Car,Lotus,Exige S,United Kingdom,2005.0,5.0,,240.0,933.5,,,,,4 cyl,1.8,222.0,215.0,Middle,Rear,Coupe,6-Speed,Other,6.0
Lotus Exige S (V6),Car,Lotus,Exige S (V6),United Kingdom,,3.8,33.0,279.0,1130.0,,,,,Supercharged V6,3.5,350.0,400.0,Middle,Rear,Coupe,6-Speed Manual,Manual,6.0
Lotus Exige S 240,Car,Lotus,Exige S 240,United Kingdom,2008.0,3.8,34.0,255.0,947.5,,,,,I4,1.8,240.0,230.0,Middle,Rear,Coupe,6,Other,6.0
Lotus Exige S RGB,Car,Lotus,Exige S RGB,United Kingdom,2010.0,4.6,34.0,245.0,931.5,,,,,inline4 16V charged DOHC,1.8,260.0,236.0,Middle,Rear,Coupe,6 speed manual,Manual,6.0
Lotus Exige S Roadster,Car,Lotus,Exige S Roadster,United Kingdom,2012.0,4.0,33.0,233.0,1119.0,,,,,"Supercharged V6, 24v",3.5,350.0,400.0,Middle,Rear,Convertible,Toyota 6 speed manual,Manual,6.0
Lotus Exige S1,Car,Lotus,Exige S1,United Kingdom,,4.5,,240.0,745.0,,,,,,2.0,274.0,,Middle,Rear,Coupe,,Other,
Lotus Exige Sport 380 Roadster,Car,Lotus,Exige Sport 380 Roadster (Mk III),United Kingdom,2016.0,4.3,33.0,233.0,1135.0,,,,,"3.5 litre DOHC V6 VVT-i, 24 valve, with Harrop supercharger",3.5,380.0,410.0,Middle,Rear,Convertible,6 speed manual,Manual,6.0
Lotus Exige Sport 420,Car,Lotus,Exige Sport 420,United Kingdom,2021.0,3.9,36.0,286.0,1107.5,,,,,V6,3.5,426.0,427.0,Middle,Rear,Coupe,6 speed manual,Manual,6.0
Lotus Exige V6 Cup,Car,Lotus,Exige V6 Cup,United Kingdom,2013.0,4.0,,274.0,1014.0,2.37,4.08,1.8,1.13,"DOHC V6, 24 valve",3.5,350.0,400.0,Middle,Rear,Coupe,6 speed manual,Manual,6.0
Lucid Air Touring,Car,Lucid,Air Touring,United States,2023.0,,,225.0,2276.5,,,,,2 electric motors,,629.0,1200.0,Front,All,4-door saloon,1 speed,Other,1.0
MG A Twin Cam 1.8 Coupe,Car,MG,A Twin Cam 1.8 Coupe,United Kingdom,1960.0,,,,,,,,,Inline 4,1.8,,,Front,Rear,Coupe,4 speed manual,Manual,4.0
MG MGA Twin-Cam Roadster,Car,MG,MGA Twin-Cam Roadster (Mk I),United Kingdom,1960.0,12.9,,179.0,991.0,,,,,Inline-4,1.6,109.0,104.0,Front,Rear,Convertible,4-speed manual,Manual,4.0
MG MGB Hardtop,Car,MG,MGB Hardtop,United Kingdom,1962.0,,,,,,,,,Inline 4,1.8,95.0,145.0,Front,Rear,Coupe,4 speed manual,Manual,4.0
MG MGF 1.8i,Car,MG,MGF 1.8i,United Kingdom,1995.0,8.7,,198.0,1073.0,,,,,4 cyl 8 valve,1.8,120.0,165.0,Middle,Rear,Convertible,5,Other,5.0
MG MGF 1.8i vvc,Car,MG,MGF 1.8i vvc,United Kingdom,1995.0,7.7,,209.0,1070.0,,,,,4 cylinders variable valve control,1.8,145.0,,Middle,Rear,Convertible,5,Other,5.0
MG Metro Turbo,Car,MG,Metro Turbo,United Kingdom,1982.0,,,178.0,840.0,2.25,3.4,1.56,1.33,Inline 4 8 valves,1.3,94.0,115.0,Front,Front,Compact,4,Other,4.0
MG TF 160,Car,MG,TF 160,United Kingdom,2002.0,6.9,,221.0,1115.0,,,,,4 cylinder 16 valve VVC,1.8,157.0,174.0,Middle,Rear,Convertible,5,Other,5.0
MG X-Power SV,Car,MG,X-Power SV,United Kingdom,,5.2,,266.0,1543.0,,,,,V8,4.6,320.0,427.0,Front,Rear,Coupe,6,Other,6.0
MG Xpower SV-R,Car,MG,Xpower SV-R,United Kingdom,,5.9,,271.0,1580.0,,,,,V8 n/a,5.0,385.0,510.0,Front,Rear,Coupe,5,Other,5.0
MG ZR 160,Car,MG,ZR 160,United Kingdom,,7.2,38.0,210.0,1117.5,,,,,"4 cylindres, 16 valves",1.8,159.0,178.0,Front,Front,Compact,5,Other,5.0
MG ZS 180,Car,MG,ZS 180,United Kingdom,2001.0,7.3,,224.0,1285.0,,,,,2.5 litre V6 (six cylinders),2.5,180.0,,Front,Rear,4-door saloon,,Other,
MG ZS EV Standard Range,Car,MG,ZS EV Standard Range,China,2021.0,,,,,,,,,E-motor,,177.0,280.0,Front,Front,SUV/truck,1 speed,Other,1.0
MG ZT 260,Car,MG,ZT 260,United Kingdom,2005.0,7.0,,250.0,1774.0,,,,,V8 n/a,4.6,260.0,410.0,Front,Rear,4-door saloon,5,Other,5.0
MS8 Streamliner 50th Annivers..,Car,Elfin,MS8 Streamliner 50th Anniversary,Australia,2007.0,3.0,,300.0,1102.0,,,,,V8,5.7,477.0,660.0,Front,Rear,Coupe,6,Other,6.0
Mahindra Scorpio-N Diesel,Car,Mahindra,Scorpio-N Diesel,India,2022.0,,,,,,,,,Inline 4 diesel,2.2,175.0,370.0,Front,Front,SUV/truck,6 speed manual,Manual,6.0
Manor MRT05,Car,Manor,MRT05,United Kingdom,,,,,,,,,,Mercedes V6 turbocharged hybrid,1.6,,,Middle,Rear,Open-wheeler,8 speed semi-automatic,Semi-Automatic,8.0
Marcos TSO GT2,Car,Marcos,TSO GT2,United Kingdom,2006.0,4.0,,300.0,1172.0,,,,,V8,5.7,475.0,536.0,Front,Rear,Coupe,5,Other,5.0
Maserati 300 S (250 PS),Car,Maserati,300 S (250 PS),Italy,,,,,780.0,,,,,3.0 L Maserati I6,3.0,250.0,245.0,Front,Rear,Convertible,4-speed manual,Manual,4.0
Maserati 3200 GT,Car,Maserati,3200 GT,Italy,1998.0,4.9,38.0,280.0,1605.0,,,,,"V8, Turbocharged, 32v",3.2,370.0,491.0,Front,Rear,Coupe,6,Other,6.0
Maserati 450 S Coupe (400 PS),Car,Maserati,450 S Coupe (400 PS),Italy,,,,266.0,1183.0,,,,,4.5L Maserati V8,4.5,399.0,451.0,Front,Rear,Coupe,5-speed Manual,Manual,5.0
Maserati 450 S Spyder (400 PS),Car,Maserati,450 S Spyder (400 PS),Italy,,,,,1118.0,,,,,4.5L Maserati V8,4.5,399.0,451.0,Front,Rear,Convertible,5-speed Manual,Manual,5.0
Maserati Biturbo 2500 (200 PS),Car,Maserati,Biturbo 2500 (200 PS),Italy,,8.1,,210.0,,,,,,V6,2.5,200.0,305.0,Front,Rear,Coupe,5 speed manual,Manual,5.0
Maserati Coupe Cambiocorsa,Car,Maserati,Coupe Cambiocorsa,Italy,2002.0,4.9,,285.0,1647.0,,,,,"V8, 32v",4.2,390.0,451.0,Front,Rear,Coupe,6,Other,6.0
Maserati Coupe GranSport,Car,Maserati,Coupe GranSport,Italy,2004.0,4.7,,290.0,1680.0,,,,,V8,4.2,400.0,451.0,Front,Rear,Coupe,6 speed,Other,6.0
Maserati GT MC Stradale,Car,Maserati,GT MC Stradale,Italy,2013.0,4.5,,303.0,1800.0,2.94,4.93,1.9,1343.0,V8 32 valves,4.7,460.0,520.0,Front,Rear,Coupe,6 speed Auto,Other,6.0
Maserati Ghibli Diesel,Car,Maserati,Ghibli Diesel (275 PS),Italy,2013.0,6.3,34.0,250.0,1954.0,3.0,4.97,1.95,1.46,Turbodiesel V6,3.0,275.0,601.0,Front,Rear,Compact,ZF 8 speed automatic,Automatic,8.0
Maserati Ghibli Trofeo,Car,Maserati,Ghibli Trofeo,Italy,2020.0,4.3,35.0,327.0,2038.0,,,,,V8 Twin Turbo,3.8,580.0,730.0,Front,Rear,4-door saloon,8 speed automatic,Automatic,8.0
Maserati GranCabrio,Car,Maserati,GranCabrio,Italy,2009.0,5.0,37.0,283.0,2043.0,,4.88,1.92,1.38,V 8,4.7,440.0,490.0,Front,Rear,Convertible,6-speed,Other,6.0
Maserati GranCabrio MC,Car,Maserati,GranCabrio MC,Italy,2013.0,4.9,,289.0,1870.0,2.94,4.93,1.92,1.35,"90° V8, n/a, DOHC, 32v",4.7,460.0,510.0,Front,Rear,Convertible,6 speed automatic,Automatic,6.0
Maserati GranSport Spyder,Car,Maserati,GranSport Spyder,Italy,2006.0,5.0,,285.0,1680.0,,,,,V 8 32 Valves,4.2,400.0,451.0,Front,Rear,Convertible,6-speed cambiocorsa semiautomatic,Automatic,6.0
Maserati GranTurismo,Car,Maserati,GranTurismo,Italy,2007.0,5.0,,285.0,1929.0,,,,,V8,4.2,405.0,460.0,Front,Rear,Coupe,6-Speed,Other,6.0
Maserati GranTurismo S,Car,Maserati,GranTurismo S,Italy,2008.0,4.5,,298.0,1910.5,,,,,Naturally-aspirated DOHC 90° 32-valve V8,4.7,439.0,490.0,Front,Rear,Coupe,6-speed MC-Shift,Other,6.0
Maserati Levante S,Car,Maserati,Levante S,Italy,2016.0,5.0,34.0,264.0,2472.0,,,,,Twin turbo V6,3.0,430.0,580.0,Front,All,SUV/truck,,Other,
Maserati Levante Trofeo,Car,Maserati,Levante Trofeo,Italy,2018.0,3.6,40.0,304.0,2257.0,,,,,Ferrari F154 Twin Turbo V8,3.8,590.0,730.0,Front,All,SUV/truck,8-speed ZF 8HP automatic,Automatic,8.0
Maserati MC 12 corsa,Car,Maserati,MC 12 corsa,Italy,2006.0,3.4,,330.0,1150.0,,,,,"12 cylinders, 48 valves",6.0,710.0,740.0,Middle,Rear,Coupe,,Other,
Maserati MC12,Car,Maserati,MC12,Italy,2004.0,3.8,,330.0,1335.0,2.8,5.14,2.1,1.21,V12,6.0,632.0,652.0,Middle,Rear,Convertible,6 speed,Other,6.0
Maserati MC20,Car,Maserati,MC20,Italy,2021.0,2.8,31.0,328.0,1602.0,2.7,4.67,1.97,1.22,3.0-liter V6,3.0,630.0,729.0,Middle,Rear,Coupe,"eight-speed, dual-clutch automatic transmission and a mechanical limited-slip differential.",Dual-Clutch,
